,code,year,month,day_of_month,date,state,magnitude,injuries,fatalities,s_latitude,s_longitude,e_latitude,e_longitude,length,width
0,VglefgCVzIxKiaFiV6xr,2021,12,10,2021-12-10,TN,4,515,57,36.48,-89.14,37.61,-86.51,168.53,2600.00
1,dpZtYxMviTY06Mb1PsxU,2021,12,10,2021-12-10,AR,4,14,8,35.79,-90.55,36.40,-89.31,81.17,1800.00
2,GSnG0nkQjEERoGVgI476,2021,3,25,2021-03-25,GA,4,0,0,33.25,-85.19,33.45,-84.56,38.56,1850.00
3,B0bW1D1VbbHSHoFvoef4,2020,7,8,2020-07-08,MN,4,2,1,46.09,-95.94,46.17,-95.80,8.86,650.00
4,YydK5kcfUHo8f9GqY1qJ,2020,4,19,2020-04-19,MS,4,1,1,31.07,-89.96,31.23,-89.08,53.76,2275.00
5,VGQZqr7sNiCNSyuCWKWa,2020,4,13,2020-04-13,SC,4,60,5,32.70,-81.29,32.83,-80.91,23.73,1300.00
6,I6Dzd69vIuVCsMjlhBJf,2020,4,12,2020-04-12,MS,4,98,7,31.46,-89.76,32.07,-88.86,67.43,3960.00
7,rpt5ZWCEYCG1omhBvme6,2020,4,12,2020-04-12,MS,4,3,4,31.28,-90.17,31.40,-89.85,21.17,1936.00
8,UaJGcXQMlXKKt5LjhxEr,2020,3,3,2020-03-03,TN,4,87,19,36.17,-85.66,36.17,-85.51,8.39,900.00
9,qGKqy5zKrsoBn9S3QkmE,2019,5,28,2019-05-28,KS,4,4,0,38.84,-95.37,39.08,-94.93,29.07,1760.00
10,Xn64VAXHHG1xPOMxU6lg,2019,5,27,2019-05-27,OH,4,166,0,39.82,-84.46,39.76,-84.11,18.17,1050.00
11,lBMU0jylUICch4xmHp3n,2019,3,3,2019-03-03,AL,4,90,23,32.45,-85.48,32.75,-84.37,68.04,1600.00
12,cluCZTsvd1vumTHwNxXm,2017,4,29,2017-04-29,TX,4,25,2,32.26,-96.02,32.55,-95.93,21.42,1760.00
13,a6kfJB5RnDnFkgERHntX,2017,2,28,2017-02-28,MO,4,12,1,37.72,-90.01,37.95,-89.07,53.47,1100.00
14,8e4YYDn5Dx1Pi3vW7zU7,2016,5,25,2016-05-25,KS,4,8,0,39.00,-97.44,38.96,-96.97,25.09,900.00
15,pdWhn5t0Oimkl3WPz3VX,2016,5,9,2016-05-09,OK,4,0,1,34.56,-97.36,34.59,-97.21,8.90,400.00
16,uYVVZThu9mtv3FoZjexq,2015,12,26,2015-12-26,TX,4,468,10,32.80,-96.59,32.97,-96.50,13.04,550.00
17,HuIckusKmH7ceheFoSqa,2015,12,23,2015-12-23,MS,4,36,9,34.60,-89.71,35.15,-88.57,75.09,1300.00
